SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	4695958	634871
9	1101	2564550	1282275
10	1101	2691284	1345642
0	1102	4596770	644320
9	1102	2610224	1305112
10	1102	2744798	1372399
0	1103	4543776	647470
9	1103	2632194	1316097
10	1103	2775822	1387911
0	1104	4504384	645818
9	1104	2652786	1326393
10	1104	2794622	1397311
0	1105	4497558	651205
9	1105	2651120	1325560
10	1105	2803114	1401557
0	1106	4534012	649639
9	1106	2628904	1314452
10	1106	2788876	1394438
0	1107	4516750	652211
9	1107	2638736	1319368
10	1107	2796306	1398153
0	1108	4527464	653053
9	1108	2625952	1312976
10	1108	2798376	1399188
0	1109	4539390	652910
9	1109	2619324	1309662
10	1109	2793078	1396539
0	1110	4559096	643149
9	1110	2607440	1303720
10	1110	2785256	1392628
0	1111	4512428	648244
9	1111	2630104	1315052
10	1111	2809260	1404630
0	1112	4511186	652614
9	1112	2625424	1312712
10	1112	2815182	1407591
0	1113	4516520	651795
9	1113	2626168	1313084
10	1113	2809104	1404552
0	1114	4522740	651380
9	1114	2616496	1308248
10	1114	2812556	1406278
0	1115	4509954	653873
9	1115	2619380	1309690
10	1115	2822458	1411229
0	1116	4513876	657846
9	1116	2624220	1312110
10	1116	2813696	1406848
0	1117	4477794	656138
9	1117	2634246	1317123
10	1117	2839752	1419876
0	1118	4477184	658460
9	1118	2635342	1317671
10	1118	2839266	1419633
0	1119	4471574	657557
9	1119	2634116	1317058
10	1119	2846102	1423051
0	1120	4479578	655403
9	1120	2630692	1315346
10	1120	2841522	1420761
0	1121	4480824	655301
9	1121	2624082	1312041
10	1121	2846886	1423443
0	1122	4421390	662163
9	1122	2660892	1330446
10	1122	2869510	1434755
0	1123	4390392	673325
9	1123	2675798	1337899
10	1123	2885602	1442801
0	1124	4355580	668990
9	1124	2693874	1346937
10	1124	2902338	1451169
0	1125	4387214	658763
9	1125	2676266	1338133
10	1125	2888312	1444156
0	1126	4371954	665365
9	1126	2683378	1341689
10	1126	2896460	1448230
0	1127	4350528	666321
9	1127	2688598	1344299
10	1127	2912666	1456333
0	1128	4387160	665381
9	1128	2668796	1334398
10	1128	2895836	1447918
0	1129	4416256	657926
9	1129	2652280	1326140
10	1129	2883256	1441628
0	1130	4410582	660911
9	1130	2651554	1325777
10	1130	2889656	1444828
0	1131	4422812	657141
9	1131	2641214	1320607
10	1131	2887766	1443883
0	1132	4436520	660609
9	1132	2640156	1320078
10	1132	2875116	1437558
0	1133	4438468	653073
9	1133	2635942	1317971
10	1133	2877382	1438691
0	1134	4411206	653263
9	1134	2649798	1324899
10	1134	2890788	1445394
0	1135	4437868	647230
9	1135	2637070	1318535
10	1135	2876854	1438427
0	1136	4445184	646054
9	1136	2632122	1316061
10	1136	2874486	1437243
0	1137	4422362	654569
9	1137	2645520	1322760
10	1137	2883910	1441955
0	1138	4430870	658006
9	1138	2640400	1320200
10	1138	2880522	1440261
0	1139	4461404	645701
9	1139	2619156	1309578
10	1139	2871232	1435616
0	1140	4393334	668857
9	1140	2652132	1326066
10	1140	2906326	1453163
0	1141	4375580	666003
9	1141	2664360	1332180
10	1141	2911852	1455926
0	1142	4417524	653283
9	1142	2643680	1321840
10	1142	2890588	1445294
0	1143	4370598	666703
9	1143	2667508	1333754
10	1143	2913686	1456843
0	1144	4375594	662282
9	1144	2663612	1331806
10	1144	2912586	1456293
0	1145	4373970	664083
9	1145	2665676	1332838
10	1145	2912146	1456073
0	1146	4349110	666782
9	1146	2676448	1338224
10	1146	2926234	1463117
0	1147	4376118	664054
9	1147	2660514	1330257
10	1147	2915160	1457580
0	1148	6227252	1600615
9	1148	1777760	888880
10	1148	1946780	973390
0	1149	4395236	667102
9	1149	2647314	1323657
10	1149	2909242	1454621
0	1150	4400972	663322
9	1150	2647940	1323970
10	1150	2902880	1451440
0	1151	4409488	666371
9	1151	2643576	1321788
10	1151	2898728	1449364
0	1152	4435254	666956
9	1152	2633322	1316661
10	1152	2883216	1441608
0	1153	4399432	669187
9	1153	2646246	1323123
10	1153	2906114	1453057
0	1154	4420748	683355
9	1154	2631150	1315575
10	1154	2899894	1449947
0	1155	4416614	671719
9	1155	2635012	1317506
10	1155	2900166	1450083
0	1156	4447268	676873
9	1156	2616588	1308294
10	1156	2887936	1443968
0	1157	4397166	676313
9	1157	2644100	1322050
