#query	Preferred_name	PFAMs	newName										
g1.t1	GLRA3	"Neur_chan_LBD,Neur_chan_memb"	glycine receptor alpha 3										
g1.t2	GLRA3	"Neur_chan_LBD,Neur_chan_memb"	glycine receptor alpha 3										
g3.t1	HPGD	adh_short	15-hydroxyprostaglandin dehydrogenase										
g4.t1	WDR17	WD40	WD repeat domain 17										
g5.t1	HMGB2	"HMG_box,HMG_box_2"	high mobility group box 2										
g6.t1	PMM2	PMM	phosphomannomutase 2										
g7.t1	MTMR7	"FYVE,Myotub-related"	myotubularin related protein 7										
g8.t1	MTUS1	-	microtubule associated scaffold protein 1										
g9.t1	PATL1	PAT1	"PAT1 homolog 1, processing body mRNA decay factor"										
g10.t1	-	-	hypothetical protein										
g11.t1	-	Lectin_C	C-type lectin domain-containing protein										
g11.t2	-	Lectin_C	C-type lectin domain-containing protein										
g12.t1	-	"Ig_2,ig"	immunoglobulin domain-containing protein										
g12.t2	-	"Ig_2,ig"	immunoglobulin domain-containing protein										
g13.t1	-	"PRY,SPRY,fn3"	SPRY-associated domain-containing protein										
g15.t1	TRIM7	"PRY,SPRY,zf-B_box,zf-C3HC4,zf-C3HC4_4,zf-RING_UBOX"	tripartite motif containing 7										
g16.t1	DTX4	"WWE,zf-C3HC4,zf-RING_UBOX"	deltex E3 ubiquitin ligase 4										
g16.t2	DTX4	"WWE,zf-C3HC4,zf-RING_UBOX"	deltex E3 ubiquitin ligase 4										
g16.t3	DTX4	"WWE,zf-C3HC4,zf-RING_UBOX"	deltex E3 ubiquitin ligase 4										
g18.t1	RPS6KB2	"Pkinase,Pkinase_C"	ribosomal protein S6 kinase B2										
g19.t1	RPS6KB2	"Pkinase,Pkinase_C"	ribosomal protein S6 kinase B2										
g21.t1	SORCS1	"PKD,Sortilin-Vps10,Sortilin_C"	sortilin related VPS10 domain containing receptor 1										
g21.t2	SORCS1	"PKD,Sortilin-Vps10,Sortilin_C"	sortilin related VPS10 domain containing receptor 1										
g22.t1	SORCS3	"PKD,Sortilin-Vps10,Sortilin_C"	sortilin related VPS10 domain containing receptor 3										
g23.t1	NEURL1	"Neuralized,zf-C3HC4_3"	neuralized E3 ubiquitin protein ligase 1										
g24.t1	SH3PXD2A	"PX,SH3_1,SH3_2"	SH3 and PX domains 2A										
g24.t2	SH3PXD2A	"PX,SH3_1,SH3_2"	SH3 and PX domains 2A										
g25.t1	OBFC1	"STN1_2,Stn1,tRNA_anti-codon"	STN1 subunit of CST complex										
g26.t1	SLK	"PKK,Pkinase"	"FYN proto-oncogene, Src family tyrosine kinase"										
g27.t1	COL17A1	Collagen	collagen type XVII alpha 1 chain										
g27.t2	COL17A1	Collagen	collagen type XVII alpha 1 chain										
g27.t3	COL17A1	Collagen	collagen type XVII alpha 1 chain										
g28.t1	LINC00493	-	small integral membrane protein 26										
g29.t1	DTD1	Tyr_Deacylase	D-aminoacyl-tRNA deacylase 1										
g30.t1	SLC24A3	Na_Ca_ex	solute carrier family 24 member 3										
g31.t1	RIN2	"RA,SH2,VPS9"	Ras and Rab interactor 2										
g32.t1	AIMP1	tRNA_bind	aminoacyl tRNA synthetase complex interacting multifunctional protein 1										
g33.t1	DKK2	Dickkopf_N	dickkopf WNT signaling pathway inhibitor 2										
g34.t1	PAPSS1	"APS_kinase,ATP-sulfurylase,PUA_2"	3'-phosphoadenosine 5'-phosphosulfate synthase 1										
g35.t1	SGMS2	PAP2_C	sphingomyelin synthase 2										
g36.t1	CYP2U1	p450	cytochrome P450 family 2 subfamily U member 1										
g37.t1	HADH	"3HCDH,3HCDH_N"	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha										
g38.t1	LEF1	"CTNNB1_binding,HMG_box"	lymphoid enhancer binding factor 1										
g38.t2	LEF1	"CTNNB1_binding,HMG_box"	lymphoid enhancer binding factor 1										
g38.t3	LEF1	"CTNNB1_binding,HMG_box"	lymphoid enhancer binding factor 1										
g38.t4	LEF1	"CTNNB1_binding,HMG_box"	lymphoid enhancer binding factor 1										
g40.t1	CCDC109B	MCU	mitochondrial calcium uniporter dominant negative subunit beta										
g41.t1	-	DNase_II	deoxyribonuclease II										
g42.t1	CASP6	Peptidase_C14	caspase 6										
g42.t2	CASP6	Peptidase_C14	caspase 6										
g43.t1	PLA2G12A	PLA2G12	phospholipase A2 group XIIA										
g44.t1	DNAJB14	"DUF1977,DnaJ"	DnaJ heat shock protein family (Hsp40) member B14										
g45.t1	TTC39B	"DUF3808,TPR_6,TPR_8"	tetratricopeptide repeat domain 39B										
g46.t1	SNAPC3	zf-SNAP50_C	small nuclear RNA activating complex polypeptide 3										
g47.t1	PSIP1	"LEDGF,PWWP"	PC4 and SRSF1 interacting protein 1										
g47.t2	PSIP1	"LEDGF,PWWP"	PC4 and SRSF1 interacting protein 1										
g48.t1	BNC2	"zf-C2H2,zf-met"	basonuclin zinc finger protein 2										
g48.t2	BNC2	"zf-C2H2,zf-met"	basonuclin zinc finger protein 2										
g49.t1	SH3GL2	"BAR,SH3_1,SH3_2,SH3_9"	"SH3 domain containing GRB2 like 2, endophilin A1"										
g50.t1	FOXE1	Forkhead	forkhead box E1										
g51.t1	SPAG5	-	sperm associated antigen 5										
g51.t2	SPAG5	-	sperm associated antigen 5										
g52.t1	C9orf156	UPF0066	tRNA methyltransferase O										
g52.t2	C9orf156	UPF0066	tRNA methyltransferase O										
g53.t1	-	-	hypothetical protein										
g53.t2	-	-	hypothetical protein										
g54.t1	ANP32B	"LRR_4,LRR_9"	acidic nuclear phosphoprotein 32 family member B										
g54.t2	ANP32B	"LRR_4,LRR_9"	acidic nuclear phosphoprotein 32 family member B										
g55.t1	CORO2A	"DUF1899,WD40,WD40_4"	coronin 2A										
g55.t2	CORO2A	"DUF1899,WD40,WD40_4"	coronin 2A										
g56.t1	USO1	"Uso1_p115_C,Uso1_p115_head"	USO1 vesicle transport factor										
g56.t2	USO1	"Uso1_p115_C,Uso1_p115_head"	USO1 vesicle transport factor										
g57.t1	G3BP2	"NTF2,RRM_1"	G3BP stress granule assembly factor 2										
g57.t2	G3BP2	"NTF2,RRM_1"	G3BP stress granule assembly factor 2										
g57.t3	G3BP2	"NTF2,RRM_1"	G3BP stress granule assembly factor 2										
g58.t1	PKD2	PKD_channel	"polycystin 2, transient receptor potential cation channel"										
g59.t1	ABCG2	"ABC2_membrane,ABC_tran"	ATP binding cassette subfamily G member 2 (JR blood group)										
g59.t2	ABCG2	"ABC2_membrane,ABC_tran"	ATP binding cassette subfamily G member 2 (JR blood group)										
g60.t1	PPM1K	PP2C	"protein phosphatase, Mg2+/Mn2+ dependent 1K"										
g61.t1	HERC3	"HECT,RCC1"	HECT and RLD domain containing E3 ubiquitin protein ligase 3										
g61.t2	HERC3	"HECT,RCC1"	HECT and RLD domain containing E3 ubiquitin protein ligase 3										
g62.t1	FAM13A	RhoGAP	family with sequence similarity 13 member A										
g62.t2	FAM13A	RhoGAP	family with sequence similarity 13 member A										
g63.t1	GPRIN3	GRIN_C	GPRIN family member 3										
g64.t1	ELMOD2	ELMO_CED12	ELMO domain containing 2										
g65.t1	UCP3	Mito_carr	uncoupling protein 3										
g66.t1	TBC1D9	"GRAM,RabGAP-TBC"	TBC1 domain family member 9										
g67.t1	RNF150	"PA,zf-RING_2"	ring finger protein 150										
g68.t1	ZNF330	NOA36	zinc finger protein 330										
g69.t1	INPP4B	-	inositol polyphosphate-4-phosphatase type II B										
